name,campaign,attribute,elite,adrenaline,energy,activation,recharge,description
Malicious Strike,Nightfall,Critical Strikes,0,0,5,0,6,Melee Attack. If target foe has a condition, this attack deals +10...26...30 damage and is a critical hit.
Mantis Touch,Factions,Deadly Arts,0,0,5,0.75,15,Spell. Inflicts Crippled condition (5...17...20 seconds). This skill counts as an off-hand attack. Must follow a lead attack.
Mark of Death,Factions,Deadly Arts,0,0,10,0.25,20,Hex Spell. (4...9...10 seconds.) Target foe receives 33% less from healing.
Mark of Insecurity,Nightfall,Deadly Arts,1,0,5,1,10,Elite Hex Spell. (5...21...25 seconds.) Causes 1...3...3 Health degeneration. Enchantments and stances expire 30...70...80% faster on target foe. Disables your non-Assassin skills (10 seconds).
Mark of Instability,Factions,,0,0,10,0.25,20,Hex Spell. (20 seconds.) Causes knock-down the next time you hit target foe with a dual attack.
Mirrored Stance,Factions,Shadow Arts,0,0,5,0.25,15,Hex Spell. (10...30...35 seconds.) You enter any stance used by target foe.
Moebius Strike,Factions,Dagger Mastery,1,0,5,0,2,Elite Off-Hand Attack. Deals +10...30...35 damage. Recharges all your other attack skills if target foe's Health is below 50%. Must follow a dual attack.
Nine Tail Strike,Factions,Dagger Mastery,0,0,5,0,8,Dual Attack. Deals +15...35...40 damage. Unblockable. Must follow an off-hand attack.
Palm Strike,Factions,Critical Strikes,1,0,5,0.75,7,Elite Touch Skill. Deals 10...54...65 damage and inflicts Crippled condition (1...4...5 seconds). This skill counts as an off-hand attack.
Recall,Factions,,1,-1,15,1,10,Enchantment Spell. End effect: Shadow Step to target ally. Cannot self-target and disables all of your skills for 10 seconds when it ends.
Repeating Strike,Factions,Dagger Mastery,0,0,5,0,0,Off-Hand Attack. Deals +10...26...30 damage. This skill has +15 second recharge time if it misses. Must follow an off-hand attack.
Return,Factions,Shadow Arts,0,0,5,0.25,15,Spell. Inflicts Crippled condition (3...7...8 seconds) on all foes adjacent to you. You Shadow Step to target ally's location. Cannot self-target.
Sadist's Signet,Eye of the North,Deadly Arts,0,0,0,1,8,Signet. You gain 10...34...40 Health for each condition on target foe.
Scorpion Wire,Factions,Deadly Arts,0,0,5,1,10,Half Range Hex Spell. (8...18...20 seconds.) Shadow Step to target foe and cause knock-down the next time this foe is more than 100' away from you.
Seeping Wound,Factions,Critical Strikes,1,0,15,0.25,12,Elite Half Range Hex Spell. (1...6...7 seconds.) Target foe moves 33% slower. This foe takes 5...21...25 damage each second while suffering from a condition.
Shadow Fang,Eye of the North,Deadly Arts,0,0,10,0.25,45,Hex Spell. Shadow Step to target foe. End effect after 10 seconds: inflicts Deep Wound condition (5...17...20 seconds); you return to your original location.
Shadow Form,Factions,Shadow Arts,1,0,5,1,30,Elite Enchantment Spell. (5...18...21 seconds.) Enemy spells cannot target you. Gain 5 damage reduction for each Assassin enchantment on you. You cannot deal more than 5...21...25 damage with a single skill or attack.
Shadow Meld,Nightfall,,1,-1,10,0.25,20,Elite Enchantment Spell. Shadow Step to target ally. End effect: return to your original location. Cannot self-target.
Shadow Prison,Nightfall,Deadly Arts,1,0,10,0.25,25,Elite Hex Spell. Shadow Step to target foe. This foe moves 66% slower (1...6...7 seconds).
Shadow Refuge,Factions,Shadow Arts,0,0,5,1,8,Enchantment Spell. (6 seconds.) You have +5...9...10 Health regeneration. End effect: heals you for 40...88...100 if you are attacking.
Shadow Sanctuary,Factions,Shadow Arts,0,0,5,0.25,30,Enchantment Spell. (10 seconds.) You gain +7...10 Health regeneration and +40 armor. You are Blind (5 seconds).
Shadow Shroud,Factions,Shadow Arts,1,0,10,1,20,Elite Hex Spell. (3...8...9 seconds.) Target foe cannot be the target of enchantments.
Shadow Theft,Nightfall,Critical Strikes,1,0,5,0.25,20,Elite Skill. Shadow Step to target foe. For 5...17...20 seconds that foe's attributes are reduced by 1...4...5 and your attributes are increased by 1...4...5. Counts as a Lead Attack. PvE Skill
Shadow Walk,Nightfall,,0,0,5,0,30,Stance. (15 seconds.) Shadow Step to target foe. End effect: return to your original location. Disables your attack skills for 1 second. Disables your stances and enchantments for 10 seconds.
Shadow of Haste,Factions,Shadow Arts,0,0,5,0,45,Stance. (10...34...40 seconds.) You move 15% faster. End effect: return to your original location.
Shadowy Burden,Factions,Shadow Arts,0,0,10,0.25,15,Hex Spell. (3...13...15 seconds.) Target foe moves 25% slower and has 20 less armor against your attacks. Armor reduction only affects this foe while it has no other hexes.
Shameful Fear,Factions,Deadly Arts,0,0,10,2,10,Hex Spell. (10 seconds.) Target foe takes 5...17...20 damage each second while moving, but moves 10% faster.
Sharpen Daggers,Factions,Critical Strikes,0,0,5,1,20,Enchantment Spell. (5...25...30 seconds.) Your dagger attacks inflict the Bleeding condition (5...13...15 seconds).
Shattering Assault,Nightfall,Critical Strikes,1,0,10,0,6,Elite Dual Attack. Deals 5...41...50 damage. Removes one enchantment. Unblockable. Must follow an off-hand attack.
Shroud of Distress,Factions,Shadow Arts,0,0,10,1,45,Enchantment Spell. (30...54...60 seconds.) You have 3...7...8 health regeneration and a 75% chance to block. No effect unless your Health is below 50%.
Shroud of Silence,Factions,Deadly Arts,1,0,10,0.75,30,Elite Touch Hex Spell. (1...3...3 seconds.) Target foe cannot cast spells. Your spells are disabled for 15 seconds.
Signet of Deadly Corruption,Eye of the North,Deadly Arts,0,0,0,1,12,Signet. Deals 5...29...35 damage (maximum 130) for each condition on target foe.
Signet of Malice,Factions,,0,0,0,0.25,5,Signet. You lose one condition for each condition on target foe.
Signet of Shadows,Factions,Deadly Arts,0,0,0,1,30,Signet. Deals 5...29...35 damage. Deals 15...51...60 more damage if target foe is Blinded.
Signet of Toxic Shock,Nightfall,Deadly Arts,0,0,0,1,15,Signet. Deals 10...82...100 damage. No effect unless target foe is Poisoned
Signet of Twilight,Nightfall,,0,0,0,2,20,Signet. Removes one enchantment for each hex on target foe.
Siphon Speed,Factions,Deadly Arts,0,0,5,1,30,Half Range Hex Spell. (5...13...15 seconds.) Target foe moves 33% slower and you move 33% faster. Recharges 50% faster if cast on a moving foe.
Siphon Strength,Factions,Deadly Arts,1,0,10,1,10,Elite Hex Spell. (5...17...20 seconds.) Target foe deals -5...41...50 attack damage. You have +33% chance to land a critical hit on this foe.
Smoke Powder Defense,Eye of the North,Shadow Arts,0,0,5,0,20,Stance. (8 seconds.) The next time you are struck, you take half damage and inflict Blindness condition (2...5...6 seconds) on adjacent foes.
Spirit Walk,Factions,,0,0,5,0.25,8,Spell. Shadow Step to target Spirit.
Swap,Nightfall,,0,0,5,0.25,10,Spell. You and target summoned creature Shadow Step to each other's locations.
Temple Strike,Factions,Dagger Mastery,1,0,15,0,20,Elite Off-Hand Attack. Interrupts a spell. Inflicts Dazed and Blindness conditions (1...8...10 seconds). Must follow a lead attack.
Trampling Ox,Eye of the North,Dagger Mastery,0,0,5,0,8,Dual Attack. Deals +5...17...20 damage; causes knock-down if target foe is Crippled. Must follow an off-hand attack.
Twisting Fangs,Factions,Critical Strikes,0,0,10,0,15,Dual Attack. Deals +10...18...20 damage. Inflicts Bleeding and Deep Wound conditions (5...17...20 seconds). Must follow an off-hand attack.
Unseen Fury,Factions,Shadow Arts,0,0,5,0,20,Stance. Inflicts Blindness condition on adjacent foes (3...9...10). You cannot be blocked by Blinded foes for 10...26...30 seconds.
Unsuspecting Strike,Factions,Critical Strikes,0,0,10,0,2,Lead Attack. Deals +19...29...31 damage. Deals 15...63...75 more damage if target foe's Health is above 90%.
Vampiric Assault,Eye of the North,Deadly Arts,0,0,5,0,8,Dual Attack. Steals 10...34...40 Health if this attack hits. Must follow an off-hand attack.
Viper's Defense,Factions,Shadow Arts,0,0,5,0.25,10,Spell. Inflict Poisoned condition (5...17...20 seconds) on all adjacent foes and Shadow Step to a nearby location directly away from your target.
Vicious Attack,Nightfall,Dagger Mastery,0,0,5,0,8,Spear Attack. Deals +5...17...20 damage. Inflicts Deep Wound condition (5...13...15 seconds) with a critical hit.
Wastrel's Collapse,Nightfall,,0,0,5,0.25,20,Elite Skill. Shadow Step to target foe. Causes knock-down if target foe is not using a skill. Disables your non-dagger attack skills (10 seconds).
Way of Perfection,Factions,Shadow Arts,0,0,5,0.25,30,Enchantment Spell. (60 seconds.) Your critical hits heal you for 10...34...40.
Way of the Assassin,Nightfall,Critical Strikes,1,0,5,0,12,Elite Stance. (20 seconds.) While wielding daggers, you attack 5...17...20% faster and have +5...29...35% chance to land a critical hit.
Way of the Empty Palm,Factions,Deadly Arts,1,0,5,0.25,10,Elite Enchantment Spell. (5...17...20 seconds.) Your off-hand and dual attacks cost no Energy.
Way of the Fox,Factions,Shadow Arts,0,0,5,0.25,45,Enchantment Spell. (10...30...35 seconds.) Your attacks are unblockable. Ends after 1...5...6 attacks.
Way of the Lotus,Factions,Shadow Arts,0,0,5,0.25,20,Enchantment Spell. (20 seconds.) You gain 5...17...20 Energy the next time you hit with a dual attack.
Way of the Master,Eye of the North,Critical Strikes,0,0,5,0.25,30,Enchantment Spell. (60 seconds.) While holding a non-dagger weapon, you have +3...27...33% chance to land a critical hit.
Wild Strike,Factions,Dagger Mastery,0,0,5,0,4,Off-Hand Attack. Deals +10...30...35 damage. Removes target foe's stance. Unblockable. Must follow a lead attack.
