Name,Description,Adrenaline,Energy,Activation,Recharge,Attribute,Campaign
Final Thrust,Sword Attack. Deals +1...32...40 damage. Deals +1...32...40 more damage if target foe is below 50% Health. Lose all adrenaline.,10,0,0,0,Swordsmanship,Core
Flail,Stance. (1...12...15 seconds.) You attack 33% faster. You move 33% slower.,4,0,0,0,Strength,Nightfall
Flourish,Elite Skill. Recharges your attack skills. You gain 2...6...7 Energy for each skill recharged.,0,5,1,8,Strength,Prophecies
Flurry,Stance. (5 seconds). You attack 33% faster. You do 25% less damage.,0,5,0,5,,Prophecies
Forceful Blow,Elite Hammer Attack. Deals +10...26...30 damage. Remove target foe's stance. Inflicts Weakness condition (5...17...20 seconds). Unblockable.,5,0,0,0,Hammer Mastery,Factions
Frenzied Defense,Stance. (8 seconds.) You have 75% chance to block. You take double damage.,0,5,0,10,,Nightfall
Frenzy,Stance. (8 seconds.) You attack 33% faster. You take double damage.,0,5,0,4,,Core
Furious Axe,Axe Attack. Deals +5...29...35 damage. Gives you 3 strikes of adrenaline if blocked.,0,5,0,6,Axe Mastery,Factions
Galrath Slash,Sword Attack. Deals +1...32...40 damage.,8,0,0,0,Swordsmanship,Prophecies
Gash,Sword Attack. Deals +5...17...20 damage and inflicts Deep Wound condition (5...17...20 seconds) if your target is Bleeding.,6,0,0,0,Swordsmanship,Core
Gladiator's Defense,Elite Stance. (5...10...11 seconds.) You have 75% chance to block. Your attacker takes 5...29...35 damage whenever you block a melee attack this way.,0,5,0,30,Tactics,Prophecies
Grapple,Touch Skill. Causes knockdown. You are also knocked down. Your current stance ends.,0,5,0.75,12,,Eye of the North
Griffon's Sweep,Melee Attack. Deals +5...17...20 damage. Causes knock-down and deals 10...29...34 damage if blocked.,0,5,0,8,Strength,Prophecies
Hammer Bash,Hammer Attack. Causes knock-down. Lose all adrenaline.,6,0,0,0,Hammer Mastery,Core
Hamstring,Sword Attack. Inflicts Crippled condition (3...13...15 seconds).,0,10,0,15,Swordsmanship,Core
Headbutt,Elite Touch Skill. Deals 40...88...100 damage. You are Dazed (5...17...20 seconds).,0,15,0.75,20,Strength,Nightfall
Healing Signet,Signet. You gain 82...154...172 Health. You have -40 armor while using this skill.,0,0,2,4,Tactics,Core
Heavy Blow,Hammer Attack. Deals +1...24...30 damage and causes knock-down if target foe is Weakened. Lose all adrenaline.,5,0,0,0,Hammer Mastery,Core
Hundred Blades,Elite Skill. (15 seconds.) Deals 10...22...25 slashing damage to all adjacent foes whenever you attack with a sword.,0,5,0,25,Swordsmanship,Core
Irresistible Blow,Hammer Attack. Deals +5...17...20 damage. Deals 5...17...20 damage and causes knock-down if blocked.,0,5,0,6,Hammer Mastery,Core
Jaizhenju Strike,Sword Attack. Deals +1...24...30 damage. Unblockable unless you are in a stance.,0,5,0,8,Swordsmanship,Factions
Keen Chop,Axe Attack. Always a critical hit.,3,0,0,0,Axe Mastery,Eye of the North
Knee Cutter,Sword Attack. You gain 2...6...7 Energy and 1...3...3 adrenaline if target foe is Crippled.,5,0,0,1,Swordsmanship,Eye of the North
Lacerating Chop,Axe Attack. Deals +5...17...20 damage. Inflicts Bleeding condition (5...17...20 seconds) if target foe is knocked-down.,5,0,0,0,Axe Mastery,Factions
Leviathan's Sweep,Melee Attack. Deals +5...17...20 damage. Causes knock-down and deals 10...29...34 damage if blocked.,0,5,0,8,Strength,Factions
Lion's Comfort,Skill. You are healed for 50...98...110 and gain 0...2...3 strikes of adrenaline. Disables your signets (12 seconds).,4,0,1,1,Strength,Nightfall
Magehunter Strike,Elite Melee Attack. Deals +5...17...20 damage. Unblockable if target foe is enchanted.,0,5,0.5,3,Strength,Nightfall
Magehunter's Smash,Elite Hammer Attack. Causes knock-down. Unblockable if target foe is enchanted.,8,0,0,0,Hammer Mastery,Nightfall
Mighty Blow,Hammer Attack. Deals +10...34...40 damage.,7,0,0,0,Hammer Mastery,Core
Mokele Smash,Hammer Attack. Deals +5...17...20 damage and you gain 2 strikes of adrenaline.,0,5,0,12,Hammer Mastery,Nightfall
Overbearing Smash,Hammer Attack. Deals +1...16...20 damage. If target foe is knocked down, they are Dazed (1...7...8 seconds).,0,5,0,20,Hammer Mastery,Nightfall
Penetrating Blow,Axe Attack. Deals +5...17...20 damage. 20% armor penetration.,5,0,0,0,Axe Mastery,Prophecies
Penetrating Chop,Axe Attack. Deals +5...17...20 damage. 20% armor penetration.,5,0,0,0,Axe Mastery,Factions
Power Attack,Melee Attack. Deals +10...34...40 damage.,0,5,0,3,Strength,Core
Primal Rage,Elite Stance. (1...12...15 seconds.) You attack 33% faster and move 25% faster. You take double damage.,4,0,0,10,Strength,Factions
Protector's Defense,Skill. (5...10...11 seconds.) Allies adjacent to you have 75% chance to block. Ends if you move.,0,5,0,30,Tactics,Factions
Protector's Strike,Melee Attack. Deals +10...34...40 damage if target is moving.,0,5,0.5,3,Strength,Prophecies
Pulverizing Smash,Hammer Attack. Inflicts Weakness and Deep Wound conditions (5...17...20 seconds) if target foe is knocked-down.,4,0,0,0,Hammer Mastery,Eye of the North
Pure Strike,Sword Attack. Deals +1...24...30 damage. Unblockable unless you are in a stance.,0,5,0,8,Swordsmanship,Prophecies
Quivering Blade,Elite Sword Attack. Deals +10...34...40 damage. Inflicts Dazed condition (5 seconds) if target foe was moving.,5,0,0,0,Swordsmanship,Factions
Rage of the Ntouka,Elite Skill. You gain 1...6...7 adrenaline. For 10 seconds, adrenal skills have a 5 second recharge when used.,0,5,0,15,Strength,Nightfall
Renewing Smash,Hammer Attack. Deals +10...34...40 damage. You gain 3 Energy and this attack recharges instantly if target foe was knocked down.,0,5,1,30,Hammer Mastery,Factions
Renewing Smash (PvP),Hammer Attack. Deals +5...17...20 damage. You gain 3 energy and this attack recharges instantly if target foe was knocked down.,0,5,0,30,Hammer Mastery,Factions
Riposte,Skill. (8 seconds). You block the next melee attack and your attacker takes 20...68...80 damage. No effect unless you have a sword equipped.,4,0,0,0,Tactics,Prophecies
Rush,Stance. (8...18...20 seconds.) You move 25% faster.,4,0,0,0,Strength,Prophecies
Savage Slash,Sword Attack. Interrupts an action. Interruption effect: deals +1...32...40 damage if action was a spell.,0,5,0.5,15,Swordsmanship,Core
Seeking Blade,Sword Attack. Deals +1...16...20 damage. Deals 1...16...20 damage and inflicts Bleeding condition (25 seconds) if blocked.,0,5,0,4,Swordsmanship,Core
Seven Weapons Stance,Elite Stance. (3...17...20 seconds.) Weapon attributes are increased by +1...12...15. You attack 33% faster. PvE Skill,0,5,0,20,Strength,Core
Sever Artery,Sword Attack. Inflicts Bleeding condition (5...21...25 seconds).,4,0,0,0,Swordsmanship,Core
Shield Bash,Skill. (5...10...11 seconds.) You block the next attack skill. Causes knock-down and +15 second recharge if it was a melee skill. No effect unless you are wielding a shield.,0,5,0,20,Strength,Core
Shield Stance,Stance. (1...5...6 seconds.) You have 75% chance to block. Damage is reduced by 2 for each rank of Strength (maximum 15 damage reduction). No effect unless you have a shield equipped.,0,5,0,15,Tactics,Prophecies
Shove,Elite Touch Skill. Causes knockdown. Initial effect: ends foe's stance and deals 15...63...75 damage if target foe is moving.,0,5,0.75,15,Tactics,Factions
Signet of Stamina,Signet. You have +50...250...300 maximum Health. Ends if you hit with an attack.,0,0,0.25,20,Strength,Nightfall
Signet of Strength,Signet. Your attacks deal +5 damage. Ends after 1...13...16 attacks.,0,0,1,45,Strength,Factions
Silverwing Slash,Sword Attack. Deals +1...32...40 damage.,8,0,0,0,Swordsmanship,Factions
Skull Crack,Elite Melee Attack. Interrupts an action. Inflicts Dazed condition (10 seconds) if target is casting a spell.,9,0,0.5,0,,Prophecies
Soldier's Defense,Stance. (1...5...6 seconds.) You have 75% chance to block while under the effects of a shout or chant. Block effect: gain 1 adrenaline.,0,5,0,15,Tactics,Nightfall
Soldier's Speed,Stance. (3...15...18 seconds.) You move 15% faster and an additional 15% while affected by a chant or shout.,0,5,0,12,Tactics,Eye of the North
Soldier's Stance,Elite Stance. (5...13...15 seconds.) You have a 75% chance to block. You attack 33% faster while under the effects of a chant or shout.,0,5,0,15,Tactics,Nightfall
Soldier's Stance (PvP),Elite Stance. (4...9...10 seconds.) You attack 33% faster while under the effects of a shout or chant.,0,5,0,8,Tactics,Nightfall
Soldier's Strike,Melee Attack. Deals +10...34...40 damage. Unblockable if you are under the effects of a chant or shout.,0,5,0,4,Tactics,Nightfall
Sprint,Stance. (8...13...14 seconds.) You move 25% faster.,0,5,0,15,Strength,Core
Staggering Blow,Hammer Attack. Inflicts Weakness condition (5...17...20 seconds).,4,0,1,0,Hammer Mastery,Core
Standing Slash,Sword Attack. Deals +5...17...20 damage. Deals 5...17...20 more damage if you are in a stance.,6,0,0,0,Swordsmanship,Factions
Steady Stance,Elite Stance. (10 seconds.) The next time you would be knocked-down, you gain 1...3...3 adrenaline and 1...6...7 Energy instead.,0,5,0,6,Tactics,Nightfall
Steelfang Slash,Sword Attack. Deals +1...25...31 damage. You gain 1...4...5 adrenaline if target foe is knocked down.,8,0,0,1,Swordsmanship,Nightfall
Sun and Moon Slash,Sword Attack. You attack target foe twice. Unblockable.,8,0,0,0,Swordsmanship,Factions
Swift Chop,Axe Attack. Deals +1...16...20 damage. Deals 1...16...20 damage and inflicts Deep Wound condition (20 seconds) if blocked.,0,5,0,4,Axe Mastery,Core
Symbolic Strike,Melee Attack. Deals +12 damage (maximum 70) for each signet you have equipped.,4,0,0,0,,Eye of the North
Thrill of Victory,Melee Attack. Deals +20...36...40 damage. If you have more Health than your target, you gain 1...2...2 adrenaline.,0,5,0,8,Tactics,Core
Tiger Stance,Stance. (4...9...10 seconds.) You attack 33% faster. Ends if you fail to hit.,0,5,0,20,Strength,Factions
Triple Chop,Elite Axe Attack. Deals +10...34...40 damage. Also hits adjacent foes.,0,5,0,10,Axe Mastery,Factions
Warrior's Cunning,Skill. (5...10...11 seconds.) Your melee attacks are unblockable.,0,10,0,60,Strength,Core
Warrior's Endurance,Elite Skill. (5...29...35 seconds.) You gain 3 Energy each time you hit with a melee attack. No Energy gain if you have more than 10...22...25 Energy.,0,5,0,30,Strength,Prophecies
Warrior's Endurance (PvP),Elite Stance. (5...29...35 seconds.) You gain 3 Energy each time you hit with a melee attack. No Energy gain if you have more than 10...22...25 Energy.,0,5,0,30,Strength,Prophecies
Wary Stance,Stance. (1...5...6 seconds). You block attack skills. Gain adrenaline and 5 Energy for each block. Ends if you use a skill.,0,10,0,10,Tactics,Prophecies
Whirling Axe,Elite Axe Attack. Deals +5...17...20 damage and removes a stance. Unblockable.,4,0,0,0,Axe Mastery,Factions
Whirlwind Attack,Melee Attack. Deals +13...20 damage to target and adjacent foes.,6,0,0,1,Sunspear rank,Nightfall
Wild Blow,Melee Attack. Always a critical hit. Removes a stance. Unblockable. Lose all adrenaline.,0,5,0,8,,Core
Yeti Smash,Hammer Attack. Attack all adjacent foes. Knocks down foes suffering from a condition. You lose all adrenaline. 50% failure chance unless Hammer Mastery is 5 or more.,6,0,0,0,Hammer Mastery,Factions
